Beauty Compare — 시술 마스터 리스트 (대분류 · 중분류 · 시술명),,,,,,,
대분류,중분류,시술명 (KO),표준명 (EN),원리 / 성분,부위 태그,비고,다운타임
,,눈밑 필러,Dermal Filler,HA · 볼륨 충전,눈밑,,
,,애교살 필러,Dermal Filler,HA · 볼륨 충전,눈밑,,
,,눈물고랑 필러,Dermal Filler,HA · 볼륨 충전,눈밑,,
,,스컬트라,Biostimulator,PLLA · 자가 콜라겐 생성 유도,전체얼굴,볼륨용,
,,쥬베룩 볼륨,Biostimulator,PLA+HA · 자가 콜라겐 생성 유도,전체얼굴,볼륨용,
,,래디어스,Biostimulator,CaHA · 자가 콜라겐 생성 유도,전체얼굴,볼륨용,
,,리투오,ECM Injection,hADM · 세포외기질 직접 공급,전체얼굴,,
,,셀르디엠,ECM Injection,hADM · 세포외기질 직접 공급,전체얼굴,,
,바디 필러,어깨 필러,Dermal Filler,HA · 볼륨 충전,어깨,,
,,데콜테 필러,Dermal Filler,HA · 볼륨 충전,데콜테,,
,,힙딥/골반 필러,Dermal Filler,HA · 볼륨 충전,엉덩이,,
,,,,,,,
보톡스,얼굴 보톡스,이마 보톡스,Botox,보툴리눔 톡신 · 근육 이완,이마,,
,,미간 보톡스,Botox,보툴리눔 톡신 · 근육 이완,미간,,
,,눈가 보톡스,Botox,보툴리눔 톡신 · 근육 이완,눈,,
,,눈밑 보톡스,Botox,보툴리눔 톡신 · 근육 이완,눈,,
,,눈썹 보톡스,Botox,보툴리눔 톡신 · 근육 이완,눈,,
,,콧등 보톡스,Botox,보툴리눔 톡신 · 근육 이완,코,,
,,입술 보톡스,Botox,보툴리눔 톡신 · 근육 이완,입술,,
,,입꼬리 보톡스,Botox,보툴리눔 톡신 · 근육 이완,입꼬리,,
,,팔자 보톡스,Botox,보툴리눔 톡신 · 근육 이완,팔자,,
,,턱끝 보톡스,Botox,보툴리눔 톡신 · 근육 이완,턱끝,,
,,사각턱 보톡스,Botox,보툴리눔 톡신 · 근육 이완,사각턱,,
,,자갈턱 보톡스,Botox,보툴리눔 톡신 · 근육 이완,자갈턱,,
,,다한증 보톡스,Botox,보툴리눔 톡신 · 분비억제,겨드랑이/손,,
,,스킨 보톡스,Botox,보툴리눔 톡신 · 분비억제,전체얼굴,,
,바디 보톡스,승모근 보톡스,Botox,보툴리눔 톡신 · 근육 축소,승모근,,
,,종아리 보톡스,Botox,보툴리눔 톡신 · 근육 축소,종아리,,
,,,,,,,
피부,미백/토닝,토닝 레이저,Toning Laser,멜라닌 파괴 · 저출력 반복,전체얼굴,스펙트라·메드라이트·헬리오스,
,,피코 토닝,Pico Laser,초단펄스 · 색소 분쇄,전체얼굴,피코슈어·피코웨이·엔라이튼,
,,,,,,,
,,IPL,Toning Laser,광선 · 색소·혈관 개선,전체얼굴,,
,,백옥주사,Brightening Injection,글루타치온 · 항산화·미백,전신,,
,,신데렐라주사,Brightening Injection,글루타치온+비타민C · 미백,전신,,
,,글루타치온 주사,Brightening Injection,항산화 · 멜라닌 억제,전신,,
,스킨부스터,리쥬란 힐러,PDRN Injection,PN · 세포 재생,전체얼굴,,
,,리쥬란 HB,PDRN Injection,PN+리도카인,전체얼굴,,
,,아이리쥬란,PDRN Injection,PN · 눈 전용,눈,눈 부위 특화,
,,플라센텍스,PDRN Injection,PDRN · 세포 재생,전체얼굴,,
,,연어주사,PDRN Injection,PDRN · 세포 재생,전체얼굴,,
,,쥬베룩,HA Skin Booster,HA · 진피 수분·탄력,전체얼굴,,
,,쥬베룩 스킨,HA Skin Booster,HA · 진피 수분·탄력,전체얼굴,,
,,쥬베룩 아이,HA Skin Booster,HA · 눈 전용,눈,눈 부위 특화,
,,물광주사,HA Skin Booster,HA · 진피 수분 충전,전체얼굴,,
,,아기주사,HA Skin Booster,HA · 진피 수분 충전,전체얼굴,,
,,샤넬주사,HA Skin Booster,HA+PDRN+비타민 복합,전체얼굴,,
,,스킨바이브,HA Skin Booster,HA · 수분,전체얼굴,,
,,리투오,ECM Injection,hADM · 세포외기질 직접 공급,전체얼굴,,
,,셀르디엠,ECM Injection,hADM · 세포외기질 직접 공급,전체얼굴,,
,,엑소좀 부스터,Exosome,줄기세포 엑소좀 · 도포/흡수형,전체얼굴,⚠ 주사 불가,
,여드름/흉터,포텐자,Fractional RF,마이크로니들 RF · 모공·흉터,전체얼굴,,
,,실펌X,Fractional RF,마이크로니들 RF · 홍조·모공,전체얼굴,,
,,지니어스RF,Fractional RF,마이크로니들 RF · 흉터,전체얼굴,,
,,스칼렛,Fractional RF,마이크로니들 RF · 모공,전체얼굴,,
,,프락셀,Resurfacing Laser,박피 레이저 · 흉터 재생,전체얼굴,,
,,피코프락셀,Resurfacing Laser,피코+프락셔널 · 흉터,전체얼굴,,
,,CO2 레이저,Resurfacing Laser,박피 레이저 · 흉터·모공,전체얼굴,,
,,여드름 레이저,Resurfacing Laser,PDT · 여드름균 사멸,전체얼굴,,
,,AHA 필링,Chemical Peel,각질 용해 · 피지 조절,전체얼굴,,
,,BHA 필링,Chemical Peel,살리실산 · 모공 클렌징,전체얼굴,,
,,알라딘 필링,Chemical Peel,복합산 · 피부결 개선,전체얼굴,,
,일반관리,하이드라페이셜,Hydrafacial,수분 클렌징 · 즉각 광채,전체얼굴,다운타임 없음,
,,아쿠아필링,Hydrafacial,수분 클렌징,전체얼굴,다운타임 없음,
,,LED 관리,LED Therapy,광선 · 재생·진정,전체얼굴,다운타임 없음,
,,LDM,LDM,초음파 · 수분·재생,전체얼굴,다운타임 없음,
,,메디컬 스킨케어,Medical Skincare,맞춤 피부관리,전체얼굴,다운타임 없음,
바디,지방분해주사,이중턱 지방분해,Fat Dissolving Injection,지방세포 파괴,이중턱,,
,,볼살 지방분해,Fat Dissolving Injection,지방세포 파괴,볼살,,
,,팔뚝 지방분해,Fat Dissolving Injection,지방세포 파괴,팔뚝,,
,,복부 지방분해,Fat Dissolving Injection,지방세포 파괴,복부,,
,,MPL,Fat Dissolving Injection,지방세포 파괴,얼굴/바디,,
,,소멸핏,Fat Dissolving Injection,지방세포 파괴,얼굴/바디,,
,,컷주사,Fat Dissolving Injection,지방세포 파괴,얼굴/바디,,
,,카이벨라,Fat Dissolving Injection,데옥시콜산 · 이중턱,이중턱,FDA승인,
,바디보톡스,승모근 보톡스,Botox,보툴리눔 톡신 · 근육 축소,승모근,,
,,종아리 보톡스,Botox,보툴리눔 톡신 · 근육 축소,종아리,,
,,팔뚝 보톡스,Botox,보툴리눔 톡신 · 근육 축소,팔뚝,,
,바디필러,손등 필러,Dermal Filler,HA · 볼륨 충전,손등,,
,,데콜테 필러,Dermal Filler,HA · 볼륨 충전,데콜테,,
,바디토닝,튠바디,Body Contouring,초음파,바디,,
,,바디 인모드,Multi-Mode Lifting,RF+HVP · 지방파괴,바디,,
,,바디 온다,Microwave Lifting,극초단파 · 지방+탄력,바디,,
,,S라인 레이저,Body Contouring,레이저 · 바디 라인,바디,,
제모,부위별 제모,턱 제모,Laser Hair Removal,다이오드 레이저,턱,젠틀맥스프로,
,,윗입술 제모,Laser Hair Removal,다이오드 레이저,윗입술,젠틀맥스프로,
,,구레나룻 제모,Laser Hair Removal,다이오드 레이저,구레나룻,,
,,이마 제모,Laser Hair Removal,다이오드 레이저,이마,,
,,겨드랑이 제모,Laser Hair Removal,다이오드 레이저,겨드랑이,젠틀맥스프로,
,,팔 제모,Laser Hair Removal,다이오드 레이저,팔,,
,,다리 제모,Laser Hair Removal,다이오드 레이저,다리,,
,,비키니 제모,Laser Hair Removal,다이오드 레이저,비키니,,
,,등 제모,Laser Hair Removal,다이오드 레이저,등,,
